,user,session,feature,param,acc
113,11,20140630,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.3591040372848511
117,11,20140630,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.3352601230144501
122,11,20140630,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.2695086598396301
123,11,20140630,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.26517340540885925
124,11,20140630,de_LDS_lr10_0.001,{'lr10:0.001'},0.2565028965473175
0,10,20131204,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.7203757166862488
1,10,20131204,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.6871387362480164
2,10,20131204,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.6864162087440491
3,10,20131130,de_LDS_lr17_0.05,{'lr17:0.05'},0.660404622554779
6,10,20131130,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.6553468108177185
7,10,20131204,de_LDS_lr17_0.05,{'lr17:0.05'},0.6546242833137512
8,10,20131130,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.6430636048316956
10,10,20131130,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.634393036365509
11,10,20131130,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.6293352842330933
12,10,20131130,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.6264451146125793
13,10,20131204,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.6242774724960327
14,10,20131204,de_LDS_lr18_0.07,{'lr18:0.07'},0.6206647157669067
15,10,20131130,de_LDS_lr18_0.07,{'lr18:0.07'},0.6141618490219116
16,10,20131130,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.611994206905365
17,10,20131130,de_LDS_lr12_0.005,{'lr12:0.005'},0.611994206905365
18,10,20131204,de_LDS_lr19_0.09,{'lr19:0.09'},0.6069363951683044
19,10,20131130,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.6069363951683044
20,10,20131130,de_LDS_lr11_0.003,{'lr11:0.003'},0.6062138676643372
21,10,20131130,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.6040462255477905
22,10,20131130,de_LDS_lr19_0.09,{'lr19:0.09'},0.6033236980438232
25,10,20131130,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.5960982441902161
26,10,20131204,de_LDS_lr11_0.003,{'lr11:0.003'},0.5960982441902161
27,10,20131130,de_LDS_lr10_0.001,{'lr10:0.001'},0.5960982441902161
28,10,20131130,de_LDS_lr15_0.01,{'lr15:0.01'},0.5946531891822815
29,10,20131204,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.5932080745697021
31,10,20131204,de_LDS_lr12_0.005,{'lr12:0.005'},0.5888728499412537
32,10,20131130,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.586705207824707
35,10,20131204,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.5859826803207397
38,10,20131204,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.5809248685836792
40,10,20131204,de_LDS_lr14_0.009,{'lr14:0.009'},0.5787572264671326
42,10,20131130,de_LDS_lr13_0.007,{'lr13:0.007'},0.5780346989631653
48,10,20131204,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.5657514333724976
49,10,20131130,de_LDS_lr16_0.03,{'lr16:0.03'},0.5570809245109558
57,10,20131211,de_LDS_lr15_0.01,{'lr15:0.01'},0.5462427735328674
59,10,20131204,de_LDS_lr10_0.001,{'lr10:0.001'},0.5462427735328674
61,10,20131130,de_LDS_lr14_0.009,{'lr14:0.009'},0.5411849617958069
64,10,20131204,de_LDS_lr15_0.01,{'lr15:0.01'},0.5346820950508118
67,10,20131204,de_LDS_lr13_0.007,{'lr13:0.007'},0.5245664715766907
80,10,20131211,de_LDS_lr18_0.07,{'lr18:0.07'},0.4898844063282013
82,10,20131211,de_LDS_lr14_0.009,{'lr14:0.009'},0.4898844063282013
83,10,20131204,de_LDS_lr16_0.03,{'lr16:0.03'},0.4898844063282013
85,10,20131211,de_LDS_lr16_0.03,{'lr16:0.03'},0.4898844063282013
87,10,20131211,de_LDS_lr17_0.05,{'lr17:0.05'},0.4898844063282013
89,10,20131211,de_LDS_lr19_0.09,{'lr19:0.09'},0.4898844063282013
90,10,20131211,de_LDS_lr12_0.005,{'lr12:0.005'},0.4898844063282013
91,10,20131211,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.4898844063282013
92,10,20131211,de_LDS_lr13_0.007,{'lr13:0.007'},0.4898844063282013
93,10,20131204,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.4891618490219116
97,10,20131204,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.4660404622554779
102,10,20131211,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.4190751314163208
103,10,20131211,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.41401734948158264
104,10,20131211,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.411849707365036
105,10,20131211,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.40028902888298035
107,10,20131211,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.39017340540885925
110,10,20131211,de_LDS_lr11_0.003,{'lr11:0.003'},0.3822254240512848
111,10,20131211,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.3648844063282013
114,10,20131211,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.3554913401603699
115,10,20131211,de_LDS_lr10_0.001,{'lr10:0.001'},0.3547687828540802
116,10,20131211,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.3540462553501129
118,10,20131211,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.3316473960876465
