,user,session,feature,param,acc
39,11,20140618,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.6437861323356628
48,11,20140618,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.6278901696205139
49,11,20140618,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.6271676421165466
50,11,20140618,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.6206647157669067
56,11,20140618,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.6091040372848511
0,10,20131211,de_LDS_lr11_0.003,{'lr11:0.003'},0.9248554706573486
1,10,20131211,de_LDS_lr12_0.005,{'lr12:0.005'},0.9053468108177185
2,10,20131211,de_LDS_lr19_0.09,{'lr19:0.09'},0.8829479813575745
3,10,20131211,de_LDS_lr13_0.007,{'lr13:0.007'},0.8829479813575745
4,10,20131211,de_LDS_lr15_0.01,{'lr15:0.01'},0.8721098303794861
5,10,20131211,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.8706647157669067
6,10,20131211,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.8670520186424255
7,10,20131211,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.8518785834312439
8,10,20131211,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.8460982441902161
9,10,20131211,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.8330925107002258
10,10,20131211,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.8309248685836792
11,10,20131211,de_LDS_lr10_0.001,{'lr10:0.001'},0.8302023410797119
12,10,20131211,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.8273121118545532
13,10,20131211,de_LDS_lr18_0.07,{'lr18:0.07'},0.7955202460289001
14,10,20131211,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.7875722646713257
15,10,20131211,de_LDS_lr14_0.009,{'lr14:0.009'},0.7875722646713257
16,10,20131211,de_LDS_lr17_0.05,{'lr17:0.05'},0.7839595079421997
17,10,20131211,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.7825144529342651
18,10,20131211,de_LDS_lr16_0.03,{'lr16:0.03'},0.740606963634491
