,user,session,feature,param,acc
196,9,20140620,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.9082369804382324
205,9,20140620,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.9046242833137512
216,9,20140620,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.8988439440727234
226,9,20140620,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.8937861323356628
227,9,20140620,de_LDS_lr11_0.003,{'lr11:0.003'},0.8937861323356628
236,9,20140620,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.8901734352111816
237,9,20140620,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.8894508481025696
245,9,20140620,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.884393036365509
256,9,20140620,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.8807803392410278
262,9,20140620,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.8786126971244812
276,9,20140620,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.8721098303794861
278,9,20140620,de_LDS_lr10_0.001,{'lr10:0.001'},0.8721098303794861
91,8,20140521,de_LDS_lr14_0.009,{'lr14:0.009'},0.9689306616783142
96,8,20140521,de_LDS_lr11_0.003,{'lr11:0.003'},0.9674855470657349
153,8,20140521,de_LDS_lr13_0.007,{'lr13:0.007'},0.9342485666275024
160,8,20140521,de_LDS_lr15_0.01,{'lr15:0.01'},0.9284682273864746
172,8,20140521,de_LDS_lr10_0.001,{'lr10:0.001'},0.9226878881454468
177,8,20140514,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.9205202460289001
178,8,20140514,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.9205202460289001
179,8,20140514,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.9190751314163208
186,8,20140521,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.913294792175293
193,8,20140521,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.9089595079421997
195,8,20140511,de_LDS_lr17_0.05,{'lr17:0.05'},0.9082369804382324
197,8,20140511,de_LDS_lr15_0.01,{'lr15:0.01'},0.9075144529342651
198,8,20140514,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.9075144529342651
199,8,20140514,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.9067919254302979
200,8,20140521,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.9067919254302979
206,8,20140514,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.9046242833137512
207,8,20140521,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.9039017558097839
209,8,20140514,de_LDS_lr15_0.01,{'lr15:0.01'},0.9017341136932373
212,8,20140521,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.90101158618927
214,8,20140521,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.8995664715766907
215,8,20140514,de_LDS_lr12_0.005,{'lr12:0.005'},0.8995664715766907
218,8,20140514,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.897398829460144
219,8,20140514,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.897398829460144
220,8,20140521,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.8966763019561768
222,8,20140521,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.8959537744522095
224,8,20140514,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.8952311873435974
234,8,20140521,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.8908959627151489
238,8,20140521,de_LDS_lr12_0.005,{'lr12:0.005'},0.8894508481025696
247,8,20140521,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.8829479813575745
258,8,20140514,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.8807803392410278
