,user,session,feature,param,acc
109,12,20131201,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.7304913401603699
110,12,20131201,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.7283236980438232
113,12,20131207,de_LDS_lr17_0.05,{'lr17:0.05'},0.7225433588027954
114,12,20131201,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.7218208312988281
115,12,20131201,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.7218208312988281
116,12,20131201,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.7210982441902161
118,12,20131201,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.7196531891822815
120,12,20131201,de_LDS_lr10_0.001,{'lr10:0.001'},0.7174855470657349
125,12,20131201,de_LDS_lr12_0.005,{'lr12:0.005'},0.7030346989631653
131,12,20131201,de_LDS_lr16_0.03,{'lr16:0.03'},0.6835260391235352
137,12,20131201,de_LDS_lr11_0.003,{'lr11:0.003'},0.6654624342918396
159,12,20131201,de_LDS_lr18_0.07,{'lr18:0.07'},0.6322254538536072
165,12,20131201,de_LDS_lr13_0.007,{'lr13:0.007'},0.6242774724960327
169,12,20131207,de_LDS_lr16_0.03,{'lr16:0.03'},0.6199421882629395
174,12,20131201,de_LDS_lr14_0.009,{'lr14:0.009'},0.6170520186424255
193,12,20131201,de_LDS_lr19_0.09,{'lr19:0.09'},0.5411849617958069
0,11,20140630,de_LDS_lr11_0.003,{'lr11:0.003'},0.9696531891822815
1,11,20140630,de_LDS_lr12_0.005,{'lr12:0.005'},0.9696531891822815
2,11,20140630,de_LDS_lr14_0.009,{'lr14:0.009'},0.964595377445221
3,11,20140630,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.9631502628326416
5,11,20140630,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.9595375657081604
6,11,20140630,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.9580925107002258
7,11,20140630,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.9566473960876465
8,11,20140630,de_LDS_lr10_0.001,{'lr10:0.001'},0.9566473960876465
9,11,20140630,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.9559248685836792
10,11,20140630,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.9537572264671326
